treatment_distribution,BinaryChoice,ad_interim_round,chose_AGV,chose_SM,chose_RAND,chose_NSQ,total
symmetric,AGV vs. SM,0,39.0,51.0,0.0,0.0,90.0
symmetric,AGV vs. SM,1,26.0,19.0,0.0,0.0,45.0
symmetric,SM vs. RAND,0,0.0,77.0,13.0,0.0,90.0
symmetric,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
symmetric,AGV vs. RAND,0,67.0,0.0,23.0,0.0,90.0
symmetric,AGV vs. RAND,1,27.0,0.0,18.0,0.0,45.0
symmetric,AGV vs. NSQ,0,35.0,0.0,0.0,55.0,90.0
symmetric,AGV vs. NSQ,1,20.0,0.0,0.0,25.0,45.0
symmetric,NSQ vs. RAND,0,0.0,0.0,45.0,45.0,90.0
symmetric,NSQ vs. RAND,1,0.0,0.0,19.0,26.0,45.0
symmetric,SM vs. NSQ,0,0.0,47.0,0.0,43.0,90.0
symmetric,SM vs. NSQ,1,0.0,21.0,0.0,24.0,45.0
+7,AGV vs. SM,0,33.0,51.0,0.0,0.0,84.0
+7,AGV vs. SM,1,12.0,30.0,0.0,0.0,42.0
+7,SM vs. RAND,0,0.0,69.0,15.0,0.0,84.0
+7,SM vs. RAND,1,0.0,36.0,6.0,0.0,42.0
+7,AGV vs. RAND,0,63.0,0.0,21.0,0.0,84.0
+7,AGV vs. RAND,1,31.0,0.0,10.0,0.0,41.0
+7,AGV vs. NSQ,0,35.0,0.0,0.0,49.0,84.0
+7,AGV vs. NSQ,1,17.0,0.0,0.0,25.0,42.0
+7,NSQ vs. RAND,0,0.0,0.0,42.0,42.0,84.0
+7,NSQ vs. RAND,1,0.0,0.0,23.0,19.0,42.0
+7,SM vs. NSQ,0,0.0,50.0,0.0,34.0,84.0
+7,SM vs. NSQ,1,0.0,25.0,0.0,17.0,42.0
-7,AGV vs. SM,0,31.0,59.0,0.0,0.0,90.0
-7,AGV vs. SM,1,32.0,13.0,0.0,0.0,45.0
-7,SM vs. RAND,0,0.0,86.0,4.0,0.0,90.0
-7,SM vs. RAND,1,0.0,42.0,3.0,0.0,45.0
-7,AGV vs. RAND,0,57.0,0.0,33.0,0.0,90.0
-7,AGV vs. RAND,1,18.0,0.0,27.0,0.0,45.0
-7,AGV vs. NSQ,0,29.0,0.0,0.0,60.0,89.0
-7,AGV vs. NSQ,1,19.0,0.0,0.0,26.0,45.0
-7,NSQ vs. RAND,0,0.0,0.0,43.0,47.0,90.0
-7,NSQ vs. RAND,1,0.0,0.0,23.0,22.0,45.0
-7,SM vs. NSQ,0,0.0,48.0,0.0,42.0,90.0
-7,SM vs. NSQ,1,0.0,33.0,0.0,12.0,45.0
three neg,AGV vs. SM,0,16.0,20.0,0.0,0.0,36.0
three neg,AGV vs. SM,1,11.0,7.0,0.0,0.0,18.0
three neg,SM vs. RAND,0,0.0,33.0,3.0,0.0,36.0
three neg,SM vs. RAND,1,0.0,16.0,2.0,0.0,18.0
three neg,AGV vs. RAND,0,21.0,0.0,15.0,0.0,36.0
three neg,AGV vs. RAND,1,8.0,0.0,10.0,0.0,18.0
three neg,AGV vs. NSQ,0,16.0,0.0,0.0,20.0,36.0
three neg,AGV vs. NSQ,1,6.0,0.0,0.0,12.0,18.0
three neg,NSQ vs. RAND,0,0.0,0.0,18.0,18.0,36.0
three neg,NSQ vs. RAND,1,0.0,0.0,5.0,13.0,18.0
three neg,SM vs. NSQ,0,0.0,19.0,0.0,17.0,36.0
three neg,SM vs. NSQ,1,0.0,7.0,0.0,11.0,18.0
